Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;DUŠAN BJELAJAC;;DUŠAN BJELAJAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;MIRJANA OLUIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;MILAN VUKELIĆ;;MILAN VUKELIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;MIRKO MARTINOVIĆ;;MIRKO MARTINOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;DEJAN MIHAJLOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;DUŠAN PREDOVIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;SAŠA LUKIĆ;;SDP, SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;DRAGIŠA ŽUTINIĆ;;DOMOVINSKI POKRET - DP
ZAMJENIK ŽUPANA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;;PETAR MAMULA;;SDP, PGS, IDS, HSU, HSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;;DUŠAN STIPANOVIĆ;;DUŠAN STIPANOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;;ĐORĐE GVOZDIĆ;;ĐORĐE GVOZDIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;;MILAN UZELAC;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;IGOR PAVKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;STANIŠA ŽARKOVIĆ;;STANIŠA ŽARKOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;POŽEŠKO-SLAVONSKA ŽUPANIJA;;NIKOLA IVANOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;POŽEŠKO-SLAVONSKA ŽUPANIJA;;TAMARA PUAČ;;TAMARA PUAČ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;VOJISLAV BOJANIĆ;;VOJISLAV BOJANIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;RADOMIR ČVARKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;BOŠKO GVERO;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;ŠIBENSKO-KNINSKA ŽUPANIJA;;OGNJEN VUKMIROVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;DRAGAN CRNOGORAC;;DRAGAN CRNOGORAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;SRĐAN JEREMIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;RADO LAZIĆ;;RADO LAZIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;TATJANA MIRIĆ;;TATJANA MIRIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK ŽUPANA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;;JESSICA ACQUAVITA;;JESSICA ACQUAVITA - KANDIDATKINJA GRUPE BIRAČA
